Permission Name,Description,Privileged
PermissionsAcceptRiskForProblems,Accept Risk For Problems,FALSE
PermissionsAccessActivation,Allows user access activations,FALSE
PermissionsAccessApplicationFormObjects,Access Application Form-Related Functionality,FALSE
PermissionsAccessBankingRelationshipAssistance,Access Banking Relationship Assistance,FALSE
PermissionsAccessBankingServiceAgent,Access Banking Service Agent,FALSE
PermissionsAccessBudgetManagement,Manage Budgets,FALSE
PermissionsAccessCdpDataExplorer,Access Data Cloud Data Explorer,FALSE
PermissionsAccessCdpProfileExplorer,Access Data Cloud Profile Explorer,FALSE
PermissionsAccessCMC,Access Experience Management,FALSE
PermissionsAccessContentBuilder,Access drag-and-drop content builder,FALSE
PermissionsAccessCustomerDataCloudSetup,Allows user access Data Cloud setup menu,FALSE
PermissionsAccessDisputePrompts,Provides access to Financial Services Email prompt templates,FALSE
PermissionsAccessEinsteinAutofill,Access Einstein Autofill,FALSE
PermissionsAccessFinancialAccounts,Financial Accounts User,FALSE
PermissionsAccessGeniePlatform,Allows user access Data Cloud,FALSE
PermissionsAccessIdpCrudApi,Manage Document Processing Configurations,FALSE
PermissionsAccessIdpUi,Allow Access to Data Cloud Document AI UI,FALSE
PermissionsAccessOrchestrationObjects,Access Orchestration Objects,FALSE
PermissionsAccessPolicyAgent,Access Policy Agent,FALSE
PermissionsAccessPSPasCaseAgents,Access Patient Support Programs as a Case Agent,FALSE
PermissionsAccessPSPasProgramLead,Access Patient Support Programs as a Program Lead,FALSE
PermissionsAccessSegment,Allows user access segments,FALSE
PermissionsAccessServiceEinstein,Access Service Einstein,FALSE
PermissionsAccessSfDrive,Grant users permission to SfDrive,FALSE
PermissionsAccessToComplaintMgmt,Public Complaint Management User,FALSE
PermissionsAccessToDisputeManagement,Dispute Management User,FALSE
PermissionsAccessToServiceProcess,Service Process User,FALSE
PermissionsAccessTrialInfoGuestUser,Access Clinical Trial Information as Guest User,FALSE
PermissionsAccessWealthAdvisorAgent,Financial Advisor Assistance Agent,FALSE
PermissionsAccountSwitcherUser,Account Switcher User,FALSE
PermissionsAccsPtntSuptPgmUseEinstein,Expose patient support programs powered by Einstein generative AI,FALSE
PermissionsActionableListCompUser,Actionable Segmentation Outreach,FALSE
PermissionsActionableListConfigUser,Actionable Segmentation Admin,FALSE
PermissionsActionableListCreator,Actionable Segmentation List Manager,FALSE
PermissionsActionableListUser,Actionable Segmentation Objects,FALSE
PermissionsActionPlansUserAccess,Permission to access the Action Plans feature,FALSE
PermissionsActivateContract,Activate Contracts,FALSE
PermissionsActivateDeactivateNonSetupFlow,Activate or Deactivate Flows,TRUE
PermissionsActivateOrder,Activate Orders,FALSE
PermissionsActivateSystemModeFlows,Enable System Mode Flow Activation,TRUE
PermissionsActivitiesAccess,Access Activities,FALSE
PermissionsAddAnalyticsRemoteConnections,Add CRM Analytics Remote Connections,FALSE
PermissionsAddAsgntElmntToNonSetupFlow,Add Assignment Element to Flows,FALSE
PermissionsAddCollFltrElmntToNonSetupFlow,Add Collection Filter Element to Flows,FALSE
PermissionsAddCollSrtElmntToNonSetupFlow,Add Collection Sort Element to Flows,FALSE
PermissionsAddCreaRecElmntToNonSetupFlow,Add Create Records Element to Flows,FALSE
PermissionsAddDecisionElmntNonSetupFlow,Add Decision Element to Flows,FALSE
PermissionsAddDelRecElmntToNonSetupFlow,Add Delete Records Element to Flows,FALSE
PermissionsAddDirectMessageMembers,Add People to Direct Messages,FALSE
PermissionsAddGetRecElmntToNonSetupFlow,Add Get Records Element to Flows,FALSE
PermissionsAddLoopElmntToNonSetupFlow,Add Loop Element to Flows,FALSE
PermissionsAddSubflowElmntToNonSetupFlow,Add Subflow Element to Flows,FALSE
PermissionsAddTrfmElmntToNonSetupFlow,Add Transform Element to Flows,FALSE
PermissionsAddUpdtRecElmntToNonSetupFlow,Add Update Records Element to Flows,FALSE
PermissionsAddWaitToNonSetupFlow,Add Wait Element to Flows,FALSE
PermissionsAddWaveNotificationRecipients,Add Recipients to CRM Analytics Notifications,FALSE
